branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
150,0,13,1,1,ecal,1,16,10.2,1
151,0,13,2,1,ecal,2,16,10.2,1
152,0,13,3,1,ecal,3,16,10.2,1
153,0,13,4,1,ecal,4,16,10.2,1
154,0,13,5,1,ecal,5,16,10.2,1
155,0,13,6,1,ecal,5,17,10.276,1
156,0,13,7,1,ecal,4,17,10.2,1
157,0,13,8,1,ecal,3,17,10.2,1
158,0,13,9,1,ecal,2,17,10.2,1
159,0,13,10,1,ecal,1,17,10.2,1
160,0,13,11,1,ecal,1,18,10.2,1
161,0,13,12,1,ecal,2,18,10.2,1
162,0,13,13,1,ecal,3,18,10.2,1
163,0,13,14,1,ecal,4,18,10.2,1
164,0,13,15,1,ecal,5,18,10.281,1
165,0,13,16,1,ecal,5,19,10.152,1
166,0,13,17,1,ecal,4,19,10.2,1
167,0,13,18,1,ecal,3,19,10.2,1
168,0,13,19,1,ecal,2,19,10.2,1
169,0,13,20,1,ecal,1,19,10.2,1
170,0,13,21,1,ecal,1,20,10.2,1
171,0,13,22,1,ecal,2,20,10.2,1
172,0,13,23,1,ecal,3,20,10.2,1
173,0,13,24,1,ecal,4,20,10.2,1
174,0,13,25,1,ecal,5,20,10.2,1
175,0,14,1,1,ecal,6,16,10.2,1
176,0,14,2,1,ecal,7,16,10.2,1
177,0,14,3,1,ecal,8,16,10.2,1
178,0,14,4,1,ecal,9,16,10.2,1
179,0,14,5,1,ecal,10,16,10.2,1
180,0,14,6,1,ecal,10,17,10.2,1
181,0,14,7,1,ecal,9,17,10.2,1
182,0,14,8,1,ecal,8,17,10.2,1
183,0,14,9,1,ecal,7,17,10.156,1
184,0,14,10,1,ecal,6,17,10.157,1
185,0,14,11,1,ecal,6,18,10.243,1
186,0,14,12,1,ecal,7,18,10.285,1
187,0,14,13,1,ecal,8,18,10.2,1
188,0,14,14,1,ecal,9,18,10.2,1
189,0,14,15,1,ecal,10,18,10.2,1
190,0,14,16,1,ecal,10,19,10.2,1
191,0,14,17,1,ecal,9,19,10.2,1
192,0,14,18,1,ecal,8,19,10.2,1
193,0,14,19,1,ecal,7,19,10.246,1
194,0,14,20,1,ecal,6,19,10.31,1
195,0,14,21,1,ecal,6,20,10.2,1
196,0,14,22,1,ecal,7,20,10.2,1
197,0,14,23,1,ecal,8,20,10.2,1
198,0,14,24,1,ecal,9,20,10.2,1
199,0,14,25,1,ecal,10,20,10.2,1
