branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
0,0,0,1,1,ecal,1,16,8.9585,1
1,0,0,2,1,ecal,2,16,8.3389,1
2,0,0,3,1,ecal,3,16,9.4759,1
3,0,0,4,1,ecal,4,16,9.0245,1
4,0,0,5,1,ecal,5,16,8.4581,1
5,0,0,6,1,ecal,5,17,8.5205,1
6,0,0,7,1,ecal,4,17,8.6243,1
7,0,0,8,1,ecal,3,17,8.9108,1
8,0,0,9,1,ecal,2,17,8.9103,1
9,0,0,10,1,ecal,1,17,8.7348,1
10,0,0,11,1,ecal,1,18,8.8094,1
11,0,0,12,1,ecal,2,18,8.4281,1
12,0,0,13,1,ecal,3,18,8.7185,1
13,0,0,14,1,ecal,4,18,8.9091,1
14,0,0,15,1,ecal,5,18,8.6133,1
15,0,0,16,1,ecal,5,19,8.7419,1
16,0,0,17,1,ecal,4,19,8.4567,1
17,0,0,18,1,ecal,3,19,8.7279,1
18,0,0,19,1,ecal,2,19,8.6882,1
19,0,0,20,1,ecal,1,19,8.47,1
20,0,0,21,1,ecal,1,20,8.8093,1
21,0,0,22,1,ecal,2,20,8.5979,1
22,0,0,23,1,ecal,3,20,8.6091,1
23,0,0,24,1,ecal,4,20,8.4119,1
24,0,0,25,1,ecal,5,20,8.6931,1
25,0,1,1,1,ecal,5,15,8.6217,1
26,0,1,2,1,ecal,4,15,8.4958,1
27,0,1,3,1,ecal,3,15,8.6712,1
28,0,1,4,1,ecal,2,15,8.7224,1
29,0,1,5,1,ecal,1,15,8.4899,1
30,0,1,6,1,ecal,1,14,8.6318,1
31,0,1,7,1,ecal,2,14,9.1523,1
32,0,1,8,1,ecal,3,14,8.837,1
33,0,1,9,1,ecal,4,14,9.5831,1
34,0,1,10,1,ecal,5,14,8.477,1
35,0,1,11,1,ecal,5,13,8.6191,1
36,0,1,12,1,ecal,4,13,8.5137,1
37,0,1,13,1,ecal,3,13,9.5875,1
38,0,1,14,1,ecal,2,13,8.6146,1
39,0,1,15,1,ecal,1,13,9.2903,1
40,0,1,16,1,ecal,1,12,8.4531,1
41,0,1,17,1,ecal,2,12,8.5395,1
42,0,1,18,1,ecal,3,12,8.4742,1
43,0,1,19,1,ecal,4,12,9.0629,1
44,0,1,20,1,ecal,5,12,8.5431,1
45,0,1,21,1,ecal,5,11,8.8649,1
46,0,1,22,1,ecal,4,11,8.7873,1
47,0,1,23,1,ecal,3,11,8.519,1
48,0,1,24,1,ecal,2,11,8.6566,1
49,0,1,25,1,ecal,1,11,8.5961,1
50,0,2,1,2,ecal,5,30,8.3966,1
51,0,2,2,2,ecal,4,30,8.4254,1
52,0,2,3,2,ecal,3,30,8.5817,1
53,0,2,4,2,ecal,2,30,8.4871,1
54,0,2,5,2,ecal,1,30,8.4295,1
55,0,2,6,2,ecal,1,29,8.399,1
56,0,2,7,2,ecal,2,29,8.5685,1
57,0,2,8,2,ecal,3,29,8.4577,1
58,0,2,9,2,ecal,4,29,8.2145,1
59,0,2,10,2,ecal,5,29,8.7461,1
60,0,2,11,2,ecal,5,28,8.4467,1
61,0,2,12,2,ecal,4,28,8.6687,1
62,0,2,13,2,ecal,3,28,8.5887,1
63,0,2,14,2,ecal,2,28,8.2688,1
64,0,2,15,2,ecal,1,28,8.3723,1
65,0,2,16,2,ecal,1,27,8.6682,1
66,0,2,17,2,ecal,2,27,8.7225,1
67,0,2,18,2,ecal,3,27,8.4223,1
68,0,2,19,2,ecal,4,27,8.4681,1
69,0,2,20,2,ecal,5,27,8.5613,1
70,0,2,21,2,ecal,5,26,8.5678,1
71,0,2,22,2,ecal,4,26,8.4837,1
72,0,2,23,2,ecal,3,26,8.4131,1
73,0,2,24,2,ecal,2,26,8.4095,1
74,0,2,25,2,ecal,1,26,8.7146,1
75,0,3,1,1,ecal,6,21,8.0741,1
76,0,3,2,1,ecal,7,21,8.3028,1
77,0,3,3,1,ecal,8,21,8.0983,1
78,0,3,4,1,ecal,9,21,8.1793,1
79,0,3,5,1,ecal,10,21,8.4718,1
80,0,3,6,1,ecal,10,22,8.7409,1
81,0,3,7,1,ecal,9,22,8.4022,1
82,0,3,8,1,ecal,8,22,8.0931,1
83,0,3,9,1,ecal,7,22,8.5321,1
84,0,3,10,1,ecal,6,22,8.4971,1
85,0,3,11,1,ecal,6,23,8.5419,1
86,0,3,12,1,ecal,7,23,8.4696,1
87,0,3,13,1,ecal,8,23,8.2477,1
88,0,3,14,1,ecal,9,23,8.3185,1
89,0,3,15,1,ecal,10,23,8.2848,1
90,0,3,16,1,ecal,10,24,8.2609,1
91,0,3,17,1,ecal,9,24,8.3272,1
92,0,3,18,1,ecal,8,24,4.3459,1
93,0,3,19,1,ecal,7,24,8.6694,1
94,0,3,20,1,ecal,6,24,8.1783,1
95,0,3,21,1,ecal,6,25,8.0841,1
96,0,3,22,1,ecal,7,25,8.4226,1
97,0,3,23,1,ecal,8,25,8.2352,1
98,0,3,24,1,ecal,9,25,8.4232,1
99,0,3,25,1,ecal,10,25,8.358,1
100,0,4,1,1,ecal,6,16,8.2339,1
101,0,4,2,1,ecal,7,16,8.2517,1
102,0,4,3,1,ecal,8,16,8.1559,1
103,0,4,4,1,ecal,9,16,8.4355,1
104,0,4,5,1,ecal,10,16,8.1686,1
105,0,4,6,1,ecal,10,17,8.1802,1
106,0,4,7,1,ecal,9,17,8.1621,1
107,0,4,8,1,ecal,8,17,8.0244,1
108,0,4,9,1,ecal,7,17,8.4876,1
109,0,4,10,1,ecal,6,17,8.3898,1
